Date_Key,Year,Quarter,Month,Month_Number,Day,Day_of_Week,Week_of_Year,Date_String
20120917,2012,Q3,September,9,17,Monday,38,2012-09-17
20120918,2012,Q3,September,9,18,Tuesday,38,2012-09-18
20120919,2012,Q3,September,9,19,Wednesday,38,2012-09-19
20120920,2012,Q3,September,9,20,Thursday,38,2012-09-20
20120921,2012,Q3,September,9,21,Friday,38,2012-09-21
20120924,2012,Q3,September,9,24,Monday,39,2012-09-24
20120925,2012,Q3,September,9,25,Tuesday,39,2012-09-25
20120926,2012,Q3,September,9,26,Wednesday,39,2012-09-26
20120927,2012,Q3,September,9,27,Thursday,39,2012-09-27
20120928,2012,Q3,September,9,28,Friday,39,2012-09-28
20121001,2012,Q4,October,10,1,Monday,40,2012-10-01
20121002,2012,Q4,October,10,2,Tuesday,40,2012-10-02
20121003,2012,Q4,October,10,3,Wednesday,40,2012-10-03
20121004,2012,Q4,October,10,4,Thursday,40,2012-10-04
20121005,2012,Q4,October,10,5,Friday,40,2012-10-05
20121008,2012,Q4,October,10,8,Monday,41,2012-10-08
20121009,2012,Q4,October,10,9,Tuesday,41,2012-10-09
20121010,2012,Q4,October,10,10,Wednesday,41,2012-10-10
20121011,2012,Q4,October,10,11,Thursday,41,2012-10-11
20121012,2012,Q4,October,10,12,Friday,41,2012-10-12
20121015,2012,Q4,October,10,15,Monday,42,2012-10-15
20121016,2012,Q4,October,10,16,Tuesday,42,2012-10-16
20121017,2012,Q4,October,10,17,Wednesday,42,2012-10-17
20121018,2012,Q4,October,10,18,Thursday,42,2012-10-18
20121019,2012,Q4,October,10,19,Friday,42,2012-10-19
20121022,2012,Q4,October,10,22,Monday,43,2012-10-22
20121023,2012,Q4,October,10,23,Tuesday,43,2012-10-23
20121024,2012,Q4,October,10,24,Wednesday,43,2012-10-24
20121025,2012,Q4,October,10,25,Thursday,43,2012-10-25
20121026,2012,Q4,October,10,26,Friday,43,2012-10-26
20121029,2012,Q4,October,10,29,Monday,44,2012-10-29
20121030,2012,Q4,October,10,30,Tuesday,44,2012-10-30
20121031,2012,Q4,October,10,31,Wednesday,44,2012-10-31
20121101,2012,Q4,November,11,1,Thursday,44,2012-11-01
20121102,2012,Q4,November,11,2,Friday,44,2012-11-02
20121105,2012,Q4,November,11,5,Monday,45,2012-11-05
20121106,2012,Q4,November,11,6,Tuesday,45,2012-11-06
20121107,2012,Q4,November,11,7,Wednesday,45,2012-11-07
20121108,2012,Q4,November,11,8,Thursday,45,2012-11-08
20121109,2012,Q4,November,11,9,Friday,45,2012-11-09
20121112,2012,Q4,November,11,12,Monday,46,2012-11-12
20121113,2012,Q4,November,11,13,Tuesday,46,2012-11-13
20121114,2012,Q4,November,11,14,Wednesday,46,2012-11-14
20121115,2012,Q4,November,11,15,Thursday,46,2012-11-15
20121116,2012,Q4,November,11,16,Friday,46,2012-11-16
20121119,2012,Q4,November,11,19,Monday,47,2012-11-19
20121120,2012,Q4,November,11,20,Tuesday,47,2012-11-20
20121121,2012,Q4,November,11,21,Wednesday,47,2012-11-21
20121122,2012,Q4,November,11,22,Thursday,47,2012-11-22
20121123,2012,Q4,November,11,23,Friday,47,2012-11-23
20121126,2012,Q4,November,11,26,Monday,48,2012-11-26
20121127,2012,Q4,November,11,27,Tuesday,48,2012-11-27
20121128,2012,Q4,November,11,28,Wednesday,48,2012-11-28
20121129,2012,Q4,November,11,29,Thursday,48,2012-11-29
20121203,2012,Q4,December,12,3,Monday,49,2012-12-03
20121204,2012,Q4,December,12,4,Tuesday,49,2012-12-04
20121205,2012,Q4,December,12,5,Wednesday,49,2012-12-05
20121206,2012,Q4,December,12,6,Thursday,49,2012-12-06
20121207,2012,Q4,December,12,7,Friday,49,2012-12-07
20121210,2012,Q4,December,12,10,Monday,50,2012-12-10
20121211,2012,Q4,December,12,11,Tuesday,50,2012-12-11
20121212,2012,Q4,December,12,12,Wednesday,50,2012-12-12
20121213,2012,Q4,December,12,13,Thursday,50,2012-12-13
20121214,2012,Q4,December,12,14,Friday,50,2012-12-14
20121217,2012,Q4,December,12,17,Monday,51,2012-12-17
20121218,2012,Q4,December,12,18,Tuesday,51,2012-12-18
20121219,2012,Q4,December,12,19,Wednesday,51,2012-12-19
20121220,2012,Q4,December,12,20,Thursday,51,2012-12-20
20121221,2012,Q4,December,12,21,Friday,51,2012-12-21
20121226,2012,Q4,December,12,26,Wednesday,52,2012-12-26
20130102,2013,Q1,January,1,2,Wednesday,1,2013-01-02
20130103,2013,Q1,January,1,3,Thursday,1,2013-01-03
20130104,2013,Q1,January,1,4,Friday,1,2013-01-04
20130107,2013,Q1,January,1,7,Monday,2,2013-01-07
20130108,2013,Q1,January,1,8,Tuesday,2,2013-01-08
20130109,2013,Q1,January,1,9,Wednesday,2,2013-01-09
20130110,2013,Q1,January,1,10,Thursday,2,2013-01-10
20130111,2013,Q1,January,1,11,Friday,2,2013-01-11
20130114,2013,Q1,January,1,14,Monday,3,2013-01-14
20130115,2013,Q1,January,1,15,Tuesday,3,2013-01-15
20130116,2013,Q1,January,1,16,Wednesday,3,2013-01-16
20130117,2013,Q1,January,1,17,Thursday,3,2013-01-17
20130118,2013,Q1,January,1,18,Friday,3,2013-01-18
20130121,2013,Q1,January,1,21,Monday,4,2013-01-21
20130122,2013,Q1,January,1,22,Tuesday,4,2013-01-22
20130123,2013,Q1,January,1,23,Wednesday,4,2013-01-23
20130124,2013,Q1,January,1,24,Thursday,4,2013-01-24
20130125,2013,Q1,January,1,25,Friday,4,2013-01-25
20130128,2013,Q1,January,1,28,Monday,5,2013-01-28
20130129,2013,Q1,January,1,29,Tuesday,5,2013-01-29
20130130,2013,Q1,January,1,30,Wednesday,5,2013-01-30
20130131,2013,Q1,January,1,31,Thursday,5,2013-01-31
20130201,2013,Q1,February,2,1,Friday,5,2013-02-01
20130204,2013,Q1,February,2,4,Monday,6,2013-02-04
20130205,2013,Q1,February,2,5,Tuesday,6,2013-02-05
20130206,2013,Q1,February,2,6,Wednesday,6,2013-02-06
20130207,2013,Q1,February,2,7,Thursday,6,2013-02-07
20130208,2013,Q1,February,2,8,Friday,6,2013-02-08
20130211,2013,Q1,February,2,11,Monday,7,2013-02-11
20130212,2013,Q1,February,2,12,Tuesday,7,2013-02-12
20130213,2013,Q1,February,2,13,Wednesday,7,2013-02-13
20130214,2013,Q1,February,2,14,Thursday,7,2013-02-14
20130215,2013,Q1,February,2,15,Friday,7,2013-02-15
20130218,2013,Q1,February,2,18,Monday,8,2013-02-18
20130219,2013,Q1,February,2,19,Tuesday,8,2013-02-19
20130220,2013,Q1,February,2,20,Wednesday,8,2013-02-20
20130221,2013,Q1,February,2,21,Thursday,8,2013-02-21
20130222,2013,Q1,February,2,22,Friday,8,2013-02-22
20130224,2013,Q1,February,2,24,Sunday,8,2013-02-24
20130225,2013,Q1,February,2,25,Monday,9,2013-02-25
20130226,2013,Q1,February,2,26,Tuesday,9,2013-02-26
20130227,2013,Q1,February,2,27,Wednesday,9,2013-02-27
20130228,2013,Q1,February,2,28,Thursday,9,2013-02-28
20130305,2013,Q1,March,3,5,Tuesday,10,2013-03-05
20130306,2013,Q1,March,3,6,Wednesday,10,2013-03-06
20130307,2013,Q1,March,3,7,Thursday,10,2013-03-07
20130308,2013,Q1,March,3,8,Friday,10,2013-03-08
20130311,2013,Q1,March,3,11,Monday,11,2013-03-11
20130312,2013,Q1,March,3,12,Tuesday,11,2013-03-12
20130313,2013,Q1,March,3,13,Wednesday,11,2013-03-13
20130314,2013,Q1,March,3,14,Thursday,11,2013-03-14
20130315,2013,Q1,March,3,15,Friday,11,2013-03-15
20130318,2013,Q1,March,3,18,Monday,12,2013-03-18
20130319,2013,Q1,March,3,19,Tuesday,12,2013-03-19
20130320,2013,Q1,March,3,20,Wednesday,12,2013-03-20
20130322,2013,Q1,March,3,22,Friday,12,2013-03-22
20130325,2013,Q1,March,3,25,Monday,13,2013-03-25
20130326,2013,Q1,March,3,26,Tuesday,13,2013-03-26
20130327,2013,Q1,March,3,27,Wednesday,13,2013-03-27
20130328,2013,Q1,March,3,28,Thursday,13,2013-03-28
20130401,2013,Q2,April,4,1,Monday,14,2013-04-01
20130402,2013,Q2,April,4,2,Tuesday,14,2013-04-02
20130403,2013,Q2,April,4,3,Wednesday,14,2013-04-03
20130404,2013,Q2,April,4,4,Thursday,14,2013-04-04
20130405,2013,Q2,April,4,5,Friday,14,2013-04-05
20130408,2013,Q2,April,4,8,Monday,15,2013-04-08
20130409,2013,Q2,April,4,9,Tuesday,15,2013-04-09
20130410,2013,Q2,April,4,10,Wednesday,15,2013-04-10
20130411,2013,Q2,April,4,11,Thursday,15,2013-04-11
20130412,2013,Q2,April,4,12,Friday,15,2013-04-12
20130415,2013,Q2,April,4,15,Monday,16,2013-04-15
20130416,2013,Q2,April,4,16,Tuesday,16,2013-04-16
20130417,2013,Q2,April,4,17,Wednesday,16,2013-04-17
20130418,2013,Q2,April,4,18,Thursday,16,2013-04-18
20130419,2013,Q2,April,4,19,Friday,16,2013-04-19
20130422,2013,Q2,April,4,22,Monday,17,2013-04-22
20130423,2013,Q2,April,4,23,Tuesday,17,2013-04-23
20130425,2013,Q2,April,4,25,Thursday,17,2013-04-25
20130426,2013,Q2,April,4,26,Friday,17,2013-04-26
20130429,2013,Q2,April,4,29,Monday,18,2013-04-29
20130430,2013,Q2,April,4,30,Tuesday,18,2013-04-30
20130501,2013,Q2,May,5,1,Wednesday,18,2013-05-01
20130502,2013,Q2,May,5,2,Thursday,18,2013-05-02
20130507,2013,Q2,May,5,7,Tuesday,19,2013-05-07
20130508,2013,Q2,May,5,8,Wednesday,19,2013-05-08
20130509,2013,Q2,May,5,9,Thursday,19,2013-05-09
20130510,2013,Q2,May,5,10,Friday,19,2013-05-10
20130513,2013,Q2,May,5,13,Monday,20,2013-05-13
20130514,2013,Q2,May,5,14,Tuesday,20,2013-05-14
20130515,2013,Q2,May,5,15,Wednesday,20,2013-05-15
20130516,2013,Q2,May,5,16,Thursday,20,2013-05-16
20130517,2013,Q2,May,5,17,Friday,20,2013-05-17
20130520,2013,Q2,May,5,20,Monday,21,2013-05-20
20130521,2013,Q2,May,5,21,Tuesday,21,2013-05-21
20130522,2013,Q2,May,5,22,Wednesday,21,2013-05-22
20130523,2013,Q2,May,5,23,Thursday,21,2013-05-23
20130524,2013,Q2,May,5,24,Friday,21,2013-05-24
20130526,2013,Q2,May,5,26,Sunday,21,2013-05-26
20130528,2013,Q2,May,5,28,Tuesday,22,2013-05-28
20130529,2013,Q2,May,5,29,Wednesday,22,2013-05-29
20130530,2013,Q2,May,5,30,Thursday,22,2013-05-30
20130531,2013,Q2,May,5,31,Friday,22,2013-05-31
20130603,2013,Q2,June,6,3,Monday,23,2013-06-03
20130604,2013,Q2,June,6,4,Tuesday,23,2013-06-04
20130605,2013,Q2,June,6,5,Wednesday,23,2013-06-05
20130606,2013,Q2,June,6,6,Thursday,23,2013-06-06
20130607,2013,Q2,June,6,7,Friday,23,2013-06-07
20130610,2013,Q2,June,6,10,Monday,24,2013-06-10
20130611,2013,Q2,June,6,11,Tuesday,24,2013-06-11
20130612,2013,Q2,June,6,12,Wednesday,24,2013-06-12
20130613,2013,Q2,June,6,13,Thursday,24,2013-06-13
20130614,2013,Q2,June,6,14,Friday,24,2013-06-14
20130617,2013,Q2,June,6,17,Monday,25,2013-06-17
20130618,2013,Q2,June,6,18,Tuesday,25,2013-06-18
20130619,2013,Q2,June,6,19,Wednesday,25,2013-06-19
20130620,2013,Q2,June,6,20,Thursday,25,2013-06-20
20130621,2013,Q2,June,6,21,Friday,25,2013-06-21
20130624,2013,Q2,June,6,24,Monday,26,2013-06-24
20130625,2013,Q2,June,6,25,Tuesday,26,2013-06-25
20130626,2013,Q2,June,6,26,Wednesday,26,2013-06-26
20130627,2013,Q2,June,6,27,Thursday,26,2013-06-27
20130628,2013,Q2,June,6,28,Friday,26,2013-06-28
20130701,2013,Q3,July,7,1,Monday,27,2013-07-01
20130702,2013,Q3,July,7,2,Tuesday,27,2013-07-02
20130703,2013,Q3,July,7,3,Wednesday,27,2013-07-03
20130704,2013,Q3,July,7,4,Thursday,27,2013-07-04
20130705,2013,Q3,July,7,5,Friday,27,2013-07-05
20130708,2013,Q3,July,7,8,Monday,28,2013-07-08
20130709,2013,Q3,July,7,9,Tuesday,28,2013-07-09
20130710,2013,Q3,July,7,10,Wednesday,28,2013-07-10
20130711,2013,Q3,July,7,11,Thursday,28,2013-07-11
20130712,2013,Q3,July,7,12,Friday,28,2013-07-12
20130715,2013,Q3,July,7,15,Monday,29,2013-07-15
20130716,2013,Q3,July,7,16,Tuesday,29,2013-07-16
20130717,2013,Q3,July,7,17,Wednesday,29,2013-07-17
20130718,2013,Q3,July,7,18,Thursday,29,2013-07-18
20130719,2013,Q3,July,7,19,Friday,29,2013-07-19
20130722,2013,Q3,July,7,22,Monday,30,2013-07-22
20130723,2013,Q3,July,7,23,Tuesday,30,2013-07-23
20130724,2013,Q3,July,7,24,Wednesday,30,2013-07-24
20130725,2013,Q3,July,7,25,Thursday,30,2013-07-25
20130726,2013,Q3,July,7,26,Friday,30,2013-07-26
20130729,2013,Q3,July,7,29,Monday,31,2013-07-29
20130730,2013,Q3,July,7,30,Tuesday,31,2013-07-30
20130731,2013,Q3,July,7,31,Wednesday,31,2013-07-31
20130801,2013,Q3,August,8,1,Thursday,31,2013-08-01
20130802,2013,Q3,August,8,2,Friday,31,2013-08-02
20130805,2013,Q3,August,8,5,Monday,32,2013-08-05
20130806,2013,Q3,August,8,6,Tuesday,32,2013-08-06
20130807,2013,Q3,August,8,7,Wednesday,32,2013-08-07
20130808,2013,Q3,August,8,8,Thursday,32,2013-08-08
20130809,2013,Q3,August,8,9,Friday,32,2013-08-09
20130812,2013,Q3,August,8,12,Monday,33,2013-08-12
20130813,2013,Q3,August,8,13,Tuesday,33,2013-08-13
20130814,2013,Q3,August,8,14,Wednesday,33,2013-08-14
20130815,2013,Q3,August,8,15,Thursday,33,2013-08-15
20130816,2013,Q3,August,8,16,Friday,33,2013-08-16
20130819,2013,Q3,August,8,19,Monday,34,2013-08-19
20130820,2013,Q3,August,8,20,Tuesday,34,2013-08-20
20130821,2013,Q3,August,8,21,Wednesday,34,2013-08-21
20130822,2013,Q3,August,8,22,Thursday,34,2013-08-22
20130823,2013,Q3,August,8,23,Friday,34,2013-08-23
20130827,2013,Q3,August,8,27,Tuesday,35,2013-08-27
20130828,2013,Q3,August,8,28,Wednesday,35,2013-08-28
20130829,2013,Q3,August,8,29,Thursday,35,2013-08-29
20130830,2013,Q3,August,8,30,Friday,35,2013-08-30
20130902,2013,Q3,September,9,2,Monday,36,2013-09-02
20130903,2013,Q3,September,9,3,Tuesday,36,2013-09-03
20130904,2013,Q3,September,9,4,Wednesday,36,2013-09-04
20130905,2013,Q3,September,9,5,Thursday,36,2013-09-05
20130906,2013,Q3,September,9,6,Friday,36,2013-09-06
20130909,2013,Q3,September,9,9,Monday,37,2013-09-09
20130910,2013,Q3,September,9,10,Tuesday,37,2013-09-10
20130911,2013,Q3,September,9,11,Wednesday,37,2013-09-11
20130912,2013,Q3,September,9,12,Thursday,37,2013-09-12
20130913,2013,Q3,September,9,13,Friday,37,2013-09-13
20130917,2013,Q3,September,9,17,Tuesday,38,2013-09-17
20130918,2013,Q3,September,9,18,Wednesday,38,2013-09-18
20130919,2013,Q3,September,9,19,Thursday,38,2013-09-19
20130920,2013,Q3,September,9,20,Friday,38,2013-09-20
20130923,2013,Q3,September,9,23,Monday,39,2013-09-23
20130924,2013,Q3,September,9,24,Tuesday,39,2013-09-24
20130925,2013,Q3,September,9,25,Wednesday,39,2013-09-25
20130926,2013,Q3,September,9,26,Thursday,39,2013-09-26
20130927,2013,Q3,September,9,27,Friday,39,2013-09-27
20130930,2013,Q3,September,9,30,Monday,40,2013-09-30
20131001,2013,Q4,October,10,1,Tuesday,40,2013-10-01
20131002,2013,Q4,October,10,2,Wednesday,40,2013-10-02
20131003,2013,Q4,October,10,3,Thursday,40,2013-10-03
20131004,2013,Q4,October,10,4,Friday,40,2013-10-04
20131007,2013,Q4,October,10,7,Monday,41,2013-10-07
20131008,2013,Q4,October,10,8,Tuesday,41,2013-10-08
20131009,2013,Q4,October,10,9,Wednesday,41,2013-10-09
20131010,2013,Q4,October,10,10,Thursday,41,2013-10-10
20131011,2013,Q4,October,10,11,Friday,41,2013-10-11
20131014,2013,Q4,October,10,14,Monday,42,2013-10-14
20131015,2013,Q4,October,10,15,Tuesday,42,2013-10-15
20131016,2013,Q4,October,10,16,Wednesday,42,2013-10-16
20131017,2013,Q4,October,10,17,Thursday,42,2013-10-17
20131018,2013,Q4,October,10,18,Friday,42,2013-10-18
20131020,2013,Q4,October,10,20,Sunday,42,2013-10-20
20131021,2013,Q4,October,10,21,Monday,43,2013-10-21
20131022,2013,Q4,October,10,22,Tuesday,43,2013-10-22
20131023,2013,Q4,October,10,23,Wednesday,43,2013-10-23
20131024,2013,Q4,October,10,24,Thursday,43,2013-10-24
20131025,2013,Q4,October,10,25,Friday,43,2013-10-25
20131028,2013,Q4,October,10,28,Monday,44,2013-10-28
20131029,2013,Q4,October,10,29,Tuesday,44,2013-10-29
20131030,2013,Q4,October,10,30,Wednesday,44,2013-10-30
20131031,2013,Q4,October,10,31,Thursday,44,2013-10-31
20131101,2013,Q4,November,11,1,Friday,44,2013-11-01
20131104,2013,Q4,November,11,4,Monday,45,2013-11-04
20131105,2013,Q4,November,11,5,Tuesday,45,2013-11-05
20131106,2013,Q4,November,11,6,Wednesday,45,2013-11-06
20131107,2013,Q4,November,11,7,Thursday,45,2013-11-07
20131108,2013,Q4,November,11,8,Friday,45,2013-11-08
20131111,2013,Q4,November,11,11,Monday,46,2013-11-11
20131112,2013,Q4,November,11,12,Tuesday,46,2013-11-12
20131113,2013,Q4,November,11,13,Wednesday,46,2013-11-13
20131114,2013,Q4,November,11,14,Thursday,46,2013-11-14
20131115,2013,Q4,November,11,15,Friday,46,2013-11-15
20131118,2013,Q4,November,11,18,Monday,47,2013-11-18
20131119,2013,Q4,November,11,19,Tuesday,47,2013-11-19
20131120,2013,Q4,November,11,20,Wednesday,47,2013-11-20
20131121,2013,Q4,November,11,21,Thursday,47,2013-11-21
20131122,2013,Q4,November,11,22,Friday,47,2013-11-22
20131125,2013,Q4,November,11,25,Monday,48,2013-11-25
20131126,2013,Q4,November,11,26,Tuesday,48,2013-11-26
20131127,2013,Q4,November,11,27,Wednesday,48,2013-11-27
20131128,2013,Q4,November,11,28,Thursday,48,2013-11-28
20131129,2013,Q4,November,11,29,Friday,48,2013-11-29
20131202,2013,Q4,December,12,2,Monday,49,2013-12-02
20131203,2013,Q4,December,12,3,Tuesday,49,2013-12-03
20131204,2013,Q4,December,12,4,Wednesday,49,2013-12-04
20131205,2013,Q4,December,12,5,Thursday,49,2013-12-05
20131206,2013,Q4,December,12,6,Friday,49,2013-12-06
20131209,2013,Q4,December,12,9,Monday,50,2013-12-09
20131210,2013,Q4,December,12,10,Tuesday,50,2013-12-10
20131211,2013,Q4,December,12,11,Wednesday,50,2013-12-11
20131212,2013,Q4,December,12,12,Thursday,50,2013-12-12
20131213,2013,Q4,December,12,13,Friday,50,2013-12-13
20131216,2013,Q4,December,12,16,Monday,51,2013-12-16
20131217,2013,Q4,December,12,17,Tuesday,51,2013-12-17
20131218,2013,Q4,December,12,18,Wednesday,51,2013-12-18
20131219,2013,Q4,December,12,19,Thursday,51,2013-12-19
20131220,2013,Q4,December,12,20,Friday,51,2013-12-20
20131222,2013,Q4,December,12,22,Sunday,51,2013-12-22
20131223,2013,Q4,December,12,23,Monday,52,2013-12-23
20131224,2013,Q4,December,12,24,Tuesday,52,2013-12-24
20131227,2013,Q4,December,12,27,Friday,52,2013-12-27
20131230,2013,Q4,December,12,30,Monday,1,2013-12-30
20131231,2013,Q4,December,12,31,Tuesday,1,2013-12-31
20140102,2014,Q1,January,1,2,Thursday,1,2014-01-02
20140103,2014,Q1,January,1,3,Friday,1,2014-01-03
20140106,2014,Q1,January,1,6,Monday,2,2014-01-06
20140107,2014,Q1,January,1,7,Tuesday,2,2014-01-07
20140108,2014,Q1,January,1,8,Wednesday,2,2014-01-08
20140109,2014,Q1,January,1,9,Thursday,2,2014-01-09
20140110,2014,Q1,January,1,10,Friday,2,2014-01-10
20140113,2014,Q1,January,1,13,Monday,3,2014-01-13
20140114,2014,Q1,January,1,14,Tuesday,3,2014-01-14
20140115,2014,Q1,January,1,15,Wednesday,3,2014-01-15
20140116,2014,Q1,January,1,16,Thursday,3,2014-01-16
20140117,2014,Q1,January,1,17,Friday,3,2014-01-17
20140120,2014,Q1,January,1,20,Monday,4,2014-01-20
20140121,2014,Q1,January,1,21,Tuesday,4,2014-01-21
20140122,2014,Q1,January,1,22,Wednesday,4,2014-01-22
20140123,2014,Q1,January,1,23,Thursday,4,2014-01-23
20140124,2014,Q1,January,1,24,Friday,4,2014-01-24
20140127,2014,Q1,January,1,27,Monday,5,2014-01-27
20140128,2014,Q1,January,1,28,Tuesday,5,2014-01-28
20140129,2014,Q1,January,1,29,Wednesday,5,2014-01-29
20140130,2014,Q1,January,1,30,Thursday,5,2014-01-30
20140131,2014,Q1,January,1,31,Friday,5,2014-01-31
20140204,2014,Q1,February,2,4,Tuesday,6,2014-02-04
20140205,2014,Q1,February,2,5,Wednesday,6,2014-02-05
